#cell_id permeability
1 3.10675414E-11
2 8.24592025E-11
3 5.43670756E-12
4 6.72391459E-12
5 6.55363599E-11
6 1.85234955E-11
7 4.77071216E-11
8 2.45885393E-11
9 4.68845114E-12
10 6.87668692E-11
11 1.38171982E-11
12 7.42298573E-11
13 7.84574707E-11
14 4.92252188E-11
15 8.42334973E-11
16 5.07046663E-11
17 2.67303995E-11
18 6.93137044E-11
19 3.88874196E-11
20 2.73942228E-11
21 3.09098298E-11
22 1.66393822E-12
23 4.19890963E-11
24 7.68014015E-11
25 2.04149102E-11
26 6.76201521E-11
27 1.20230426E-11
28 2.61027892E-11
29 7.11252678E-11
30 8.52953511E-11
31 5.20947923E-11
32 6.87622936E-11
33 1.78433021E-11
34 3.28126933E-11
35 3.90539353E-11
36 3.40058727E-11
37 6.81874857E-11
38 6.18317948E-11
39 6.13311312E-11
40 2.22073467E-11
41 1.98734152E-11
42 1.39861243E-11
43 8.9723508E-11
44 9.29169711E-12
45 3.28439705E-11
46 5.70753587E-11
47 2.10830313E-11
48 7.72096426E-11
49 4.37144386E-11
50 8.20645075E-11
51 2.54740734E-11
52 4.57148037E-12
53 8.37153879E-11
54 3.62246875E-11
55 1.80159745E-11
56 8.61671284E-11
57 7.89434729E-11
58 8.05371982E-11
59 2.12779591E-12
60 3.19622792E-11
61 5.2275367E-11
62 7.09340285E-11
63 2.31906236E-11
64 2.06022077E-11
